,name,latitude,longitude,cuisine,price
448,Peel's,52.4259,-1.70536,Creative British,2
449,John's House,52.73295,-1.145851,Modern cuisine,5
450,The Whitebrook,51.759697,-2.686909,Modern British,2
451,James Sommerin,51.434387,-3.167951,Modern cuisine,1
452,Driftwood,50.1889,-4.97088,Modern cuisine,1
453,The Cross at Kenilworth,52.350315,-1.5801147,Classic cuisine,2
454,Masons Arms,50.99547,-3.67163,Classic French,2
455,Salt,52.18963,-1.7092043,Modern British,4
456,Le Champignon Sauvage,51.89146,-2.07912,Modern cuisine,3
457,Gidleigh Park,50.67658,-3.87354,Modern cuisine,1
458,Hambleton Hall,52.65737,-0.66812,Classic cuisine,1
459,wilks,51.46737,-2.6069899,Modern British,4
460,Bulrush,51.46278,-2.597758,Modern British,2
461,Casamia,51.447254,-2.5940728,Creative,1
462,Paco Tapas,51.44647,-2.59358,Spanish,3
463,Pony & Trap,51.34938,-2.5925994,Modern British,2
464,The Dining Room,51.58376,-2.14954,Asian influences,5
465,Bybrook,51.49382,-2.23212,Modern British,2
466,Restaurant Hywel Jones by Lucknam Park,51.45502,-2.25941,Modern British,1
467,Olive Tree,51.38707,-2.3627,Modern cuisine,4
468,Lympstone Manor,50.64069,-3.4186063,Modern cuisine,4
469,The Neptune,52.9511,0.50927,Modern cuisine,2
470,Elephant,50.45853,-3.52438,Modern British,5
471,Oxford Kitchen,51.776733,-1.264794,Modern British,4
472,Nut Tree,51.83618,-1.1499,Traditional British,2
473,Morston Hall,52.95473,0.98729,Modern British,3
474,Red Lion Freehouse,51.2736,-1.8007996,Classic cuisine,5
475,Blackbird,51.420887,-1.3493549,Classic cuisine,4
476,Woodspeen,51.415802,-1.353532,Modern cuisine,3
477,The Coach,51.571712,-0.7772678,Modern British,1
478,Crown,51.524807,-0.7915291,Regional cuisine,3
479,L'Ortolan,51.40833,-0.9542898,French,4
480,Hinds Head,51.51265,-0.69641,Traditional British,5
481,Black Rat,51.05796,-1.3069497,Modern cuisine,2
482,Matt Worswick at The Latymer,51.35764,-0.7086128,Modern cuisine,1
483,Coworth Park,51.40463,-0.616715,Modern cuisine,2
484,Tudor Room,51.41759,-0.545847,Modern cuisine,3
485,The Glasshouse,51.4771,-0.28574,Modern cuisine,4
486,La Trompette,51.49222,-0.25619,Modern British,3
487,Tim Allen's Flitch of Bacon,51.86747,0.404134,Modern British,5
488,River Café,51.48395,-0.22423,Italian,4
489,Kitchen W8,51.49918,-0.19692,Modern cuisine,1
490,Trishna,51.51834,-0.153031,Indian,5
491,Roganic,51.518314,-0.1520875,Creative British,5
492,Locanda Locatelli,51.51514,-0.15675,Italian,2
493,Texture,51.51488,-0.15664,Creative,2
494,Portland,51.519726,-0.142555,Modern cuisine,2
495,Harwood Arms,51.48291,-0.19651,Modern British,3
496,Pied à Terre,51.519,-0.13511,Creative,5
497,The Ninth,51.51875,-0.1350068,Mediterranean cuisine,2
498,Kai,51.50871,-0.15162,Chinese,4
499,Pollen Street Social,51.5133,-0.14234,Creative,3
500,Hakkasan Mayfair,51.51037,-0.14475,Chinese,5
501,The Square,51.51069,-0.14401,Creative French,2
502,Alyn Williams at The Westbury,51.51118,-0.14303,Modern cuisine,1
503,Benares,51.50973,-0.14494,Indian,2
504,Hakkasan Hanway Place,51.5171,-0.13144,Chinese,3
505,Social Eating House,51.51383,-0.13673,Modern cuisine,3
506,Galvin at Windows,51.50539,-0.15039,Modern cuisine,5
507,Murano,51.50707,-0.14722,Italian,5
508,Marcus,51.50171,-0.15614,Modern cuisine,5
509,Sabor,51.511368,-0.1396773,Spanish,3
510,Clock House,51.30044,-0.49287,Modern cuisine,3
511,Yauatcha Soho,51.51367,-0.1352,Chinese,3
512,Céleste,51.502422,-0.1522617,Creative French,2
513,Gymkhana,51.50854,-0.14154,Indian,2
514,Amaya,51.49912,-0.15731,Indian,4
515,Pétrus,51.49951,-0.15662,French,2
516,Veeraswamy,51.51008,-0.13809,Indian,3
517,Barrafina,51.51375,-0.1318,Spanish,4
518,Hide,51.506077,-0.144289,Modern British,4
519,Ritz Restaurant,51.50728,-0.14141,Modern British,3
520,Elystan Street,51.49124,-0.16724,Modern British,5
521,Seven Park Place,51.50623,-0.13998,Modern cuisine,1
522,Ikoyi,51.509212,-0.1334389,Creative,5
523,Aquavit,51.508713,-0.1334072,Scandinavian,2
524,Five Fields,51.49168,-0.16124,Modern cuisine,2
525,Dining Room at The Goring,51.49763,-0.14556,Traditional British,5
526,St John,51.52064,-0.10133,Traditional British,5
527,Quilon,51.49863,-0.13726,Indian,5
528,Club Gascon,51.51857,-0.10031,French,3
529,A. Wong,51.49318,-0.14128,Chinese,5
530,The Clove Club,51.52711,-0.07927,Modern cuisine,3
531,Leroy,51.524086,-0.0815337,Modern British,1
532,Angler,51.51894,-0.08625,Seafood,2
533,Brat,51.52427,-0.0767681,Traditional British,3
534,Lyle's,51.52378,-0.07704,Modern British,5
535,Galvin La Chapelle,51.52032,-0.0781,French,1
536,City Social,51.51521,-0.08431,Modern cuisine,4
537,La Dame de Pic,51.510372,-0.0788981,Modern French,5
538,Story,51.50268,-0.07774,Modern cuisine,3
539,Trinity,51.46336,-0.14148,Modern cuisine,4
540,Chez Bruce,51.44607,-0.16553,French,1
541,Sorrel,51.228825,-0.3346741,Modern British,2
542,Restaurant Tristan,51.062347,-0.326034,Modern British,4
543,Gravetye Manor,51.08932,-0.05691,Modern British,2
544,The Sportsman,51.34392,0.95885,Modern British,3
545,West House,51.11521,0.64215,Modern British,1
546,Fordwich Arms,51.295284,1.1261871,Modern cuisine,2
547,Samphire,49.18488,-2.1057,Modern cuisine,1
548,Bohemia,49.181225,-2.102417,Modern cuisine,5
